Sensor ID,Lat, Long,Timestamp,Soil Moisture (%),Soil Type,Recommended Crop(s),Recommended Crop(s)
S0042,15.2255,143.2162,11:03.0,19.5,Sandy,Corn, Sunflower
S0043,-18.1079,-101.0445,56:03.0,7.1,Clay,Wheat, Peas
S0044,89.5568,3.4295,31:03.0,27.2,Loam,Rice, Sugarcane
S0045,-73.6363,-163.0381,29:03.0,28,Loam,Rice, Sugarcane
S0046,-70.2632,45.8806,10:03.0,19,Clay,Corn, Soybeans
S0047,52.5743,-28.0224,42:03.0,23.9,Sandy,Corn, Sunflower
S0048,-78.565,-42.6171,55:03.0,19.4,Loam,Maize, Cotton
S0049,89.3018,10.4812,14:03.0,29.6,Clay,Rice, Sugarcane
S0050,84.7941,129.8807,34:03.0,16.6,Loam,Maize, Cotton
S0051,-87.9334,79.4599,58:03.0,16.8,Clay,Corn, Soybeans
S0052,32.7079,13.3093,45:03.0,9.5,Sandy,Millet, Sorghum
S0053,-41.9715,50.7462,58:03.0,23.4,Clay,Corn, Soybeans
S0054,-69.9206,-23.4845,23:03.0,14.4,Sandy,Millet, Sorghum
S0055,-8.3297,163.3737,11:03.0,16.9,Clay,Corn, Soybeans
S0056,67.6535,-85.1799,57:03.0,27.1,Clay,Rice, Sugarcane
S0057,0.1055,-115.6853,35:03.0,12.4,Clay,Wheat, Peas
S0058,74.273,133.3867,55:03.0,7.1,Loam,Wheat, Barley
S0059,-36.2799,50.0218,36:03.0,7.1,Sandy,Millet, Sorghum
S0060,19.6146,-124.9779,44:03.0,28.3,Loam,Rice, Sugarcane
S0061,47.2519,14.1765,20:03.0,12.6,Loam,Wheat, Barley
S0062,50.1528,10.9273,08:03.0,27.4,Clay,Rice, Sugarcane
S0063,-89.8971,-63.3038,49:03.0,29.1,Clay,Rice, Sugarcane
S0064,-86.4942,154.4755,15:03.0,32.3,Clay,Rice, Sugarcane
S0065,68.1699,119.3996,46:03.0,9.1,Sandy,Millet, Sorghum
S0066,-34.6475,-159.1469,32:03.0,32.7,Sandy,Potatoes, Carrots
S0067,68.0417,160.9018,06:03.0,6.1,Clay,Wheat, Peas
S0068,-74.5824,-5.0434,40:03.0,27.9,Clay,Rice, Sugarcane
S0069,-77.5417,93.8168,24:03.0,22.7,Loam,Maize, Cotton
S0070,47.8502,-133.7791,32:03.0,14.1,Sandy,Millet, Sorghum
S0071,-4.4492,17.9293,22:03.0,24.8,Sandy,Corn, Sunflower
S0072,-42.2898,134.0759,09:03.0,6.2,Clay,Wheat, Peas
S0073,-13.8352,-103.7526,39:03.0,20.6,Sandy,Corn, Sunflower
S0074,7.0733,82.7752,19:03.0,24.7,Clay,Corn, Soybeans
S0075,-53.7928,-67.7821,15:03.0,11.2,Loam,Wheat, Barley
S0076,89.1269,53.9561,29:03.0,23.5,Clay,Corn, Soybeans
S0077,-11.142,6.3273,52:03.0,10.4,Loam,Wheat, Barley
S0078,-68.2192,-99.109,40:03.0,5,Clay,Wheat, Peas
S0079,-29.1446,31.7911,23:03.0,24.4,Clay,Corn, Soybeans
S0080,-48.5793,-100.7217,19:03.0,13.7,Clay,Wheat, Peas
S0081,-77.2212,47.1971,00:03.0,23.1,Clay,Corn, Soybeans
S0082,-48.7905,145.9512,32:03.0,30.8,Sandy,Potatoes, Carrots
S0083,64.7344,-154.4914,45:03.0,31.3,Loam,Rice, Sugarcane
S0084,-47.1592,60.832,42:03.0,18.6,Clay,Corn, Soybeans
S0085,-51.4374,-132.3677,57:03.0,28.1,Sandy,Potatoes, Carrots
S0086,78.3926,25.5755,26:03.0,19.5,Loam,Maize, Cotton
S0087,-4.9192,102.463,48:03.0,27.7,Sandy,Potatoes, Carrots
S0088,55.3495,-111.4524,14:03.0,32.2,Sandy,Potatoes, Carrots
S0089,-72.5525,-24.8216,24:03.0,6.9,Sandy,Millet, Sorghum
S0090,-13.7558,-11.8711,46:03.0,12.3,Sandy,Millet, Sorghum
S0091,41.2337,62.4112,03:03.0,30.8,Loam,Rice, Sugarcane
S0092,87.1497,-144.5696,19:03.0,16.3,Clay,Corn, Soybeans
S0093,-17.5282,-57.8511,02:03.0,5.1,Sandy,Millet, Sorghum
S0094,65.1011,-90.4837,51:03.0,9.4,Loam,Wheat, Barley
S0095,-55.7624,-18.4991,49:03.0,32.5,Sandy,Potatoes, Carrots
S0096,-14.0613,-79.7237,41:03.0,13.5,Sandy,Millet, Sorghum
S0097,-45.0348,152.3756,37:03.0,18.1,Clay,Corn, Soybeans
S0098,-10.2365,130.0857,16:03.0,30.5,Loam,Rice, Sugarcane
S0099,9.0586,-161.7882,56:03.0,16.8,Clay,Corn, Soybeans
S0100,89.8708,120.9699,19:03.0,7.9,Sandy,Millet, Sorghum
S0101,84.4193,153.4921,55:03.0,31.4,Sandy,Potatoes, Carrots
S0102,62.7652,-120.128,54:03.0,26,Loam,Rice, Sugarcane
S0103,-2.5846,-103.051,47:03.0,7.4,Sandy,Millet, Sorghum
S0104,-17.8127,-158.8913,40:03.0,33.2,Sandy,Potatoes, Carrots
S0105,-21.7848,174.7112,41:03.0,7.9,Sandy,Millet, Sorghum
S0106,-42.2634,102.2654,50:03.0,25.3,Loam,Rice, Sugarcane
S0107,-8.0985,-27.7173,57:03.0,14.8,Sandy,Millet, Sorghum
S0108,82.3172,178.3522,29:03.0,11.8,Loam,Wheat, Barley
S0109,10.0383,78.627,33:03.0,22.7,Sandy,Corn, Sunflower
S0110,-62.1366,-73.1852,21:03.0,16.7,Clay,Corn, Soybeans
S0111,84.3677,28.5049,38:03.0,5.8,Clay,Wheat, Peas
S0112,7.5951,89.2712,51:03.0,33.4,Sandy,Potatoes, Carrots
S0113,-79.7103,30.3039,16:03.0,24.3,Clay,Corn, Soybeans
S0114,0.5131,126.9792,04:03.0,28.2,Sandy,Potatoes, Carrots
S0115,-61.6621,165.8804,20:03.0,14,Loam,Wheat, Barley
S0116,-75.5799,-113.103,40:03.0,13.5,Sandy,Millet, Sorghum
S0117,17.1063,63.0765,05:03.0,17.6,Clay,Corn, Soybeans
S0118,-47.6633,-136.8408,23:03.0,18.4,Loam,Maize, Cotton
S0119,70.2517,-91.3625,15:03.0,26.6,Loam,Rice, Sugarcane
S0120,17.0134,42.9773,05:03.0,34.8,Loam,Rice, Sugarcane
S0121,-14.5395,30.122,57:03.0,28.7,Clay,Rice, Sugarcane
S0122,4.1009,156.4943,37:03.0,33.7,Sandy,Potatoes, Carrots
S0123,-53.2333,77.829,10:03.0,8.7,Sandy,Millet, Sorghum
S0124,-47.0365,-37.5171,42:03.0,24.5,Loam,Maize, Cotton
S0125,30.9042,-72.0011,58:03.0,6.3,Sandy,Millet, Sorghum
S0126,-33.0881,90.6712,11:03.0,34.5,Clay,Rice, Sugarcane
S0127,-76.9422,-15.0172,06:03.0,28,Loam,Rice, Sugarcane
S0128,89.7218,178.5947,42:03.0,22.2,Clay,Corn, Soybeans
S0129,-76.8131,-103.2644,57:03.0,17.8,Loam,Maize, Cotton
S0130,-42.2639,155.9734,14:03.0,23.4,Clay,Corn, Soybeans
S0131,68.5556,136.5373,45:03.0,30.2,Loam,Rice, Sugarcane
S0132,-23.4851,-123.2111,18:03.0,8.3,Sandy,Millet, Sorghum
S0133,60.0741,73.2744,53:03.0,29.7,Loam,Rice, Sugarcane
S0134,20.102,175.4039,49:03.0,7.8,Clay,Wheat, Peas
S0135,27.7157,-177.1837,05:03.0,12.2,Loam,Wheat, Barley
S0136,57.0787,-72.2236,27:03.0,24.9,Clay,Corn, Soybeans
S0137,29.41,158.0148,35:03.0,31.7,Loam,Rice, Sugarcane
S0138,-65.8276,-138.4457,52:03.0,8.9,Clay,Wheat, Peas
S0139,-70.7335,19.1605,09:03.0,27,Clay,Rice, Sugarcane
S0140,-40.9773,37.7387,55:03.0,17.6,Clay,Corn, Soybeans
S0141,39.1702,-106.705,27:03.0,17.1,Loam,Maize, Cotton
S0142,24.1628,-84.9658,36:03.0,28.8,Sandy,Potatoes, Carrots
S0143,-2.0643,145.9211,24:03.0,24.4,Loam,Maize, Cotton
S0144,62.2987,-146.7726,05:03.0,13.3,Loam,Wheat, Barley
S0145,-13.7564,-80.3951,11:03.0,31,Loam,Rice, Sugarcane
S0146,-89.3618,97.6029,30:03.0,29.9,Clay,Rice, Sugarcane
S0147,24.6804,-85.6961,12:03.0,17.7,Clay,Corn, Soybeans
S0148,43.4216,18.605,27:03.0,25.5,Loam,Rice, Sugarcane
S0149,-13.0164,-176.5189,13:03.0,32.5,Loam,Rice, Sugarcane
S0150,-76.4561,137.9183,43:03.0,14.1,Sandy,Millet, Sorghum
S0151,72.7071,16.4125,45:03.0,6.3,Clay,Wheat, Peas
S0152,60.2271,29.7034,46:03.0,32.1,Loam,Rice, Sugarcane
S0153,-63.3431,-134.1196,40:03.0,7.9,Clay,Wheat, Peas
S0154,-34.5135,143.6333,01:03.0,23.1,Sandy,Corn, Sunflower
S0155,53.302,129.8529,33:03.0,28.2,Sandy,Potatoes, Carrots
S0156,71.8064,-104.3724,04:03.0,14.8,Clay,Wheat, Peas
S0157,-45.0846,-142.9943,56:03.0,26.5,Clay,Rice, Sugarcane
S0158,50.4209,138.2885,34:03.0,21.3,Clay,Corn, Soybeans
S0159,-16.8521,43.4381,54:03.0,6.3,Loam,Wheat, Barley
S0160,-62.1804,154.7572,30:03.0,8.7,Sandy,Millet, Sorghum
S0161,65.629,171.4342,16:03.0,28.3,Sandy,Potatoes, Carrots
S0162,55.9389,137.3098,14:03.0,8.9,Sandy,Millet, Sorghum
S0163,-85.5385,85.1632,33:03.0,5.9,Sandy,Millet, Sorghum
S0164,-30.2066,155.0937,38:03.0,16.3,Sandy,Corn, Sunflower
S0165,54.4023,131.0631,21:03.0,13.5,Sandy,Millet, Sorghum
S0166,55.9349,-83.9499,59:03.0,30.2,Clay,Rice, Sugarcane
S0167,51.7274,-141.0856,33:03.0,21.5,Sandy,Corn, Sunflower
S0168,66.99,129.0936,37:03.0,25.5,Loam,Rice, Sugarcane
S0169,-49.9619,113.9712,50:03.0,30,Sandy,Potatoes, Carrots
S0170,-7.1454,-70.1313,53:03.0,9.6,Loam,Wheat, Barley
S0171,53.1622,-98.0656,29:03.0,21.4,Sandy,Corn, Sunflower
S0172,-85.7404,-110.4733,33:03.0,5.2,Sandy,Millet, Sorghum
S0173,-30.9128,131.1671,01:03.0,19.2,Loam,Maize, Cotton
S0174,84.04,-79.515,06:03.0,25.8,Sandy,Potatoes, Carrots
S0175,25.4667,-36.1158,56:03.0,9.9,Loam,Wheat, Barley
S0176,86.6069,13.0377,51:03.0,14,Clay,Wheat, Peas
S0177,79.0627,-138.477,42:03.0,17.2,Loam,Maize, Cotton
S0178,84.6721,-115.7156,02:03.0,21.6,Loam,Maize, Cotton
S0179,83.2562,-84.4321,06:03.0,6.4,Sandy,Millet, Sorghum
S0180,-70.4875,-23.557,52:03.0,19.5,Clay,Corn, Soybeans
S0181,41.1381,-67.0762,06:03.0,17.4,Sandy,Corn, Sunflower
S0182,19.1176,4.1123,06:03.0,5.8,Loam,Wheat, Barley
S0183,-20.6648,27.5717,10:03.0,18.6,Sandy,Corn, Sunflower
S0184,-44.1499,75.1627,51:03.0,30.3,Clay,Rice, Sugarcane
S0185,-89.6956,153.2071,50:03.0,18.9,Clay,Corn, Soybeans
S0186,6.9214,78.9948,40:03.0,28.5,Sandy,Potatoes, Carrots
S0187,43.551,61.4263,22:03.0,31.6,Clay,Rice, Sugarcane
S0188,-24.4401,-154.8094,14:03.0,23.7,Loam,Maize, Cotton
S0189,29.5628,-61.128,18:03.0,34.3,Sandy,Potatoes, Carrots
S0190,-33.4952,125.2855,23:03.0,20.2,Sandy,Corn, Sunflower
S0191,39.5558,-71.884,09:03.0,32.3,Sandy,Potatoes, Carrots
S0192,-34.3288,-32.9786,20:03.0,24.4,Loam,Maize, Cotton
S0193,-17.5679,-73.5641,06:03.0,29.6,Loam,Rice, Sugarcane
S0194,-67.0882,-28.6393,57:03.0,6.1,Clay,Wheat, Peas
S0195,79.2655,63.8345,44:03.0,10.3,Loam,Wheat, Barley
S0196,72.505,41.5854,57:03.0,24.6,Clay,Corn, Soybeans
S0197,-35.829,17.2574,49:03.0,23.5,Sandy,Corn, Sunflower
S0198,-89.9269,-76.7111,41:03.0,29.7,Sandy,Potatoes, Carrots
S0199,-12.6201,28.7945,05:03.0,16.9,Loam,Maize, Cotton
S0200,27.847,-12.6043,37:03.0,5,Clay,Wheat, Peas
S0201,-10.4112,-103.0675,38:03.0,31.9,Clay,Rice, Sugarcane
S0202,-4.8265,144.4251,10:03.0,25.8,Sandy,Potatoes, Carrots
S0203,53.2845,-118.9111,02:03.0,8.1,Clay,Wheat, Peas
S0204,-74.7368,5.5627,33:03.0,16.6,Loam,Maize, Cotton
S0205,23.9294,-59.3322,50:03.0,9.6,Clay,Wheat, Peas
S0206,57.3162,90.4097,38:03.0,26.9,Sandy,Potatoes, Carrots
S0207,31.1032,-99.1294,29:03.0,24.9,Clay,Corn, Soybeans
S0208,-54.1566,-171.2069,50:03.0,25.1,Loam,Rice, Sugarcane
S0209,-45.9283,-8.9509,38:03.0,22.4,Clay,Corn, Soybeans
S0210,62.9528,-153.7818,54:03.0,14.2,Sandy,Millet, Sorghum
S0211,-15.4006,46.7155,03:03.0,31.8,Loam,Rice, Sugarcane
S0212,-55.0017,70.6875,52:03.0,30.6,Clay,Rice, Sugarcane
S0213,-1.0121,-92.1656,24:03.0,33.9,Loam,Rice, Sugarcane
S0214,28.0904,-178.0039,22:03.0,23.6,Sandy,Corn, Sunflower
S0215,45.1736,97.2166,45:03.0,25.3,Loam,Rice, Sugarcane
S0216,-70.8143,-26.9474,26:03.0,27.4,Loam,Rice, Sugarcane
S0217,-58.3404,164.8678,50:03.0,8.5,Sandy,Millet, Sorghum
S0218,3.2324,-161.9214,27:03.0,34.3,Clay,Rice, Sugarcane
S0219,-45.1443,125.4011,33:03.0,18.2,Loam,Maize, Cotton
S0220,-7.8369,108.51,03:03.0,24.3,Loam,Maize, Cotton
S0221,30.164,175.6413,07:03.0,19.8,Clay,Corn, Soybeans
S0222,17.1814,162.0143,21:03.0,23.6,Sandy,Corn, Sunflower
S0223,70.4567,40.5548,26:03.0,5.3,Sandy,Millet, Sorghum
S0224,39.4693,1.7201,34:03.0,34.7,Clay,Rice, Sugarcane
S0225,59.5025,17.2339,20:03.0,13.7,Clay,Wheat, Peas
S0226,71.4975,87.716,10:03.0,6.5,Sandy,Millet, Sorghum
S0227,-4.5586,-86.691,35:03.0,19,Sandy,Corn, Sunflower
S0228,-45.4968,49.5581,29:03.0,29.8,Sandy,Potatoes, Carrots
S0229,47.8465,7.6679,41:03.0,19.8,Clay,Corn, Soybeans
S0230,22.8147,-81.1449,59:03.0,21.8,Clay,Corn, Soybeans
S0231,-76.053,-77.1379,22:03.0,7.1,Sandy,Millet, Sorghum
S0232,-41.0913,-64.9046,32:03.0,32.8,Loam,Rice, Sugarcane
S0233,7.2274,-130.1853,24:03.0,21.7,Sandy,Corn, Sunflower
S0234,-48.3729,69.8219,29:03.0,24.6,Clay,Corn, Soybeans
S0235,37.1554,-156.8776,14:03.0,22.3,Sandy,Corn, Sunflower
S0236,-16.6321,15.34,24:03.0,26.5,Sandy,Potatoes, Carrots
S0237,-15.1606,-105.5396,07:03.0,30.8,Clay,Rice, Sugarcane
S0238,-14.3742,145.7419,24:03.0,27.5,Sandy,Potatoes, Carrots
S0239,15.1343,70.3883,44:03.0,11.6,Loam,Wheat, Barley
S0240,64.2118,95.614,47:03.0,21.1,Loam,Maize, Cotton
S0241,-21.5314,-177.8774,37:03.0,26.6,Clay,Rice, Sugarcane
S0242,-26.6834,91.251,58:03.0,6.3,Sandy,Millet, Sorghum
S0243,63.6206,163.2349,34:03.0,22.8,Loam,Maize, Cotton
S0244,-14.5762,89.1056,35:03.0,5.6,Clay,Wheat, Peas
S0245,8.3038,37.1709,36:03.0,24.7,Sandy,Corn, Sunflower
S0246,-50.303,-101.0082,53:03.0,32.3,Clay,Rice, Sugarcane
S0247,-11.5495,-169.5511,47:03.0,22.3,Sandy,Corn, Sunflower
S0248,-29.4967,64.4911,58:03.0,32.3,Clay,Rice, Sugarcane
S0249,-17.223,-120.5839,42:03.0,17.9,Loam,Maize, Cotton
S0250,-5.8698,-134.054,20:03.0,18.3,Clay,Corn, Soybeans
S0251,22.0063,-170.2921,43:03.0,10.3,Sandy,Millet, Sorghum
S0252,-19.0764,23.1811,41:03.0,30.8,Sandy,Potatoes, Carrots
S0253,-85.1216,51.3899,25:03.0,15,Clay,Corn, Soybeans
S0254,-65.5741,-13.7886,12:03.0,8.1,Sandy,Millet, Sorghum
S0255,-80.9488,-43.5226,47:03.0,28.5,Sandy,Potatoes, Carrots
S0256,-51.9011,-62.3355,10:03.0,32.8,Loam,Rice, Sugarcane
S0257,47.0213,-43.5146,09:03.0,33.8,Sandy,Potatoes, Carrots
S0258,45.3618,119.4927,33:03.0,26.7,Loam,Rice, Sugarcane
S0259,-44.5911,-150.5138,34:03.0,27.4,Loam,Rice, Sugarcane
S0260,-86.511,14.1909,02:03.0,33.9,Loam,Rice, Sugarcane
S0261,89.9834,-54.0143,52:03.0,26.6,Sandy,Potatoes, Carrots
S0262,27.0259,101.2439,39:03.0,24.4,Sandy,Corn, Sunflower
S0263,27.3158,91.524,58:03.0,23.7,Loam,Maize, Cotton
S0264,80.9301,-108.2302,55:03.0,25.5,Sandy,Potatoes, Carrots
S0265,-86.3316,-125.1424,40:03.0,7.4,Clay,Wheat, Peas
S0266,-67.2802,61.0052,55:03.0,32.7,Sandy,Potatoes, Carrots
S0267,11.5145,-101.5328,27:03.0,10.4,Clay,Wheat, Peas
S0268,35.9037,96.0833,56:03.0,21.4,Sandy,Corn, Sunflower
S0269,-59.798,38.6091,50:03.0,9,Sandy,Millet, Sorghum
S0270,44.6266,-138.7682,11:03.0,15.2,Clay,Corn, Soybeans
S0271,57.4742,167.2995,33:03.0,9.2,Sandy,Millet, Sorghum
S0272,-70.5422,-170.7558,14:03.0,23.7,Clay,Corn, Soybeans
S0273,-33.8477,63.845,49:03.0,29.1,Sandy,Potatoes, Carrots
S0274,82.4711,-37.2044,27:03.0,14.7,Loam,Wheat, Barley
S0275,38.7026,-152.6413,04:03.0,33,Clay,Rice, Sugarcane
S0276,34.3106,45.8073,31:03.0,32.2,Sandy,Potatoes, Carrots
S0277,-71.6578,98.0931,09:03.0,15.4,Loam,Maize, Cotton
S0278,63.0528,36.1482,48:03.0,30,Sandy,Potatoes, Carrots
S0279,-68.2101,174.184,16:03.0,18.7,Clay,Corn, Soybeans
S0280,50.8744,-55.0066,18:03.0,34.1,Loam,Rice, Sugarcane
S0281,-12.892,-46.5945,34:03.0,20.4,Clay,Corn, Soybeans
S0282,1.0729,-57.1568,29:03.0,25.8,Loam,Rice, Sugarcane
S0283,62.9236,116.0391,02:03.0,7.6,Sandy,Millet, Sorghum
S0284,-71.003,165.8835,34:03.0,20.4,Loam,Maize, Cotton
S0285,24.4053,118.3346,32:03.0,5.5,Clay,Wheat, Peas
S0286,37.3156,-23.2246,15:03.0,18.4,Loam,Maize, Cotton
S0287,42.0832,167.5705,41:03.0,31.3,Loam,Rice, Sugarcane
S0288,-41.3852,110.9517,26:03.0,24.8,Sandy,Corn, Sunflower
S0289,6.8711,-5.9409,17:03.0,30.7,Sandy,Potatoes, Carrots
S0290,-11.5966,83.1694,58:03.0,32.8,Clay,Rice, Sugarcane
S0291,-41.6888,126.6167,46:03.0,20.5,Loam,Maize, Cotton
S0292,59.5316,-148.8014,19:03.0,8.3,Clay,Wheat, Peas
S0293,68.6936,-92.2092,38:03.0,25.7,Sandy,Potatoes, Carrots
S0294,-6.3525,39.7194,59:03.0,12.7,Sandy,Millet, Sorghum
S0295,-21.7819,-169.668,07:03.0,19.1,Sandy,Corn, Sunflower
S0296,63.1715,-114.5377,18:03.0,25.2,Clay,Rice, Sugarcane
S0297,-51.8184,107.2196,57:03.0,16.1,Loam,Maize, Cotton
S0298,-28.739,136.9152,24:03.0,5.8,Loam,Wheat, Barley
S0299,36.2131,-80.5433,48:03.0,30.6,Clay,Rice, Sugarcane
S0300,-88.1728,161.3025,52:03.0,8.9,Sandy,Millet, Sorghum
S0301,-74.5897,79.2269,41:03.0,26.8,Loam,Rice, Sugarcane
S0302,-2.056,92.9393,16:03.0,31.3,Clay,Rice, Sugarcane
S0303,34.3097,52.525,53:03.0,14,Loam,Wheat, Barley
S0304,-1.6522,105.4558,49:03.0,25.5,Clay,Rice, Sugarcane
S0305,-73.2504,-100.2253,22:03.0,14.5,Clay,Wheat, Peas
S0306,34.5217,-69.7658,28:03.0,18.8,Clay,Corn, Soybeans
S0307,14.68,-9.6262,05:03.0,25.5,Loam,Rice, Sugarcane
S0308,5.5659,-26.8186,16:03.0,33,Clay,Rice, Sugarcane
S0309,44.2684,-60.9151,53:03.0,24.1,Sandy,Corn, Sunflower
S0310,36.5139,-82.4701,20:03.0,31.8,Loam,Rice, Sugarcane
S0311,-44.7473,-136.5639,39:03.0,14.6,Clay,Wheat, Peas
S0312,-55.3348,-136.9603,07:03.0,22.3,Clay,Corn, Soybeans
S0313,6.4555,94.3883,53:03.0,10.1,Loam,Wheat, Barley
S0314,-56.673,-102.1015,16:03.0,34,Clay,Rice, Sugarcane
S0315,-2.8443,80.8506,52:03.0,7.7,Loam,Wheat, Barley
S0316,85.7893,8.8693,14:03.0,13.9,Loam,Wheat, Barley
S0317,-39.0602,-143.8106,15:03.0,10.9,Sandy,Millet, Sorghum
S0318,-55.0588,-98.1061,03:03.0,13,Loam,Wheat, Barley
S0319,-57.7005,-174.9066,01:03.0,21.9,Loam,Maize, Cotton
S0320,6.1443,-81.2479,05:03.0,15.6,Loam,Maize, Cotton
S0321,85.3731,19.2092,18:03.0,17.8,Clay,Corn, Soybeans
S0322,35.5351,-134.5394,27:03.0,16.8,Sandy,Corn, Sunflower
S0323,66.323,-3.2837,47:03.0,20.1,Clay,Corn, Soybeans
S0324,67.0896,26.6631,12:03.0,13.8,Clay,Wheat, Peas
S0325,-5.5085,-21.4312,52:03.0,33.6,Sandy,Potatoes, Carrots
S0326,-56.8145,-161.5044,28:03.0,6.6,Clay,Wheat, Peas
S0327,79.3914,-8.0175,52:03.0,7.1,Sandy,Millet, Sorghum
S0328,57.9808,-35.7453,06:03.0,17.9,Clay,Corn, Soybeans
S0329,-76.6652,46.6005,35:03.0,22.1,Loam,Maize, Cotton
S0330,-80.3504,-126.2889,53:03.0,10.6,Loam,Wheat, Barley
S0331,11.3111,-70.6192,16:03.0,22.2,Sandy,Corn, Sunflower
S0332,88.9053,-137.3574,54:03.0,10.6,Clay,Wheat, Peas
S0333,47.5998,38.2744,11:03.0,21.5,Sandy,Corn, Sunflower
S0334,52.3333,-98.7526,44:03.0,16.2,Clay,Corn, Soybeans
S0335,4.0631,-17.8148,53:03.0,23,Clay,Corn, Soybeans
S0336,-10.3102,129.66,52:03.0,11.8,Clay,Wheat, Peas
S0337,88.2056,-70.0631,49:03.0,25.1,Loam,Rice, Sugarcane
S0338,21.7849,39.4671,55:03.0,9,Clay,Wheat, Peas
S0339,43.2161,161.1325,54:03.0,17.3,Clay,Corn, Soybeans
S0340,-52.5982,-104.0309,43:03.0,6.9,Clay,Wheat, Peas
S0341,28.8771,-123.4594,18:03.0,33.1,Sandy,Potatoes, Carrots
S0342,-58.7136,-152.9766,58:03.0,15.9,Sandy,Corn, Sunflower
S0343,-89.5184,-17.8187,17:03.0,8.8,Sandy,Millet, Sorghum
S0344,16.886,-75.1467,57:03.0,33.2,Clay,Rice, Sugarcane
S0345,-48.3343,74.5041,24:03.0,29.9,Clay,Rice, Sugarcane
S0346,36.5378,-16.5487,47:03.0,22.2,Loam,Maize, Cotton
S0347,33.7293,152.608,19:03.0,16.6,Sandy,Corn, Sunflower
S0348,51.809,45.0209,45:03.0,7.9,Clay,Wheat, Peas
S0349,29.0129,156.1206,48:03.0,19.6,Clay,Corn, Soybeans
S0350,-13.475,16.0425,05:03.0,28.3,Loam,Rice, Sugarcane
S0351,26.5743,147.0281,12:03.0,27.3,Sandy,Potatoes, Carrots
S0352,58.7936,-154.2925,56:03.0,11,Clay,Wheat, Peas
S0353,-60.1339,-69.2597,25:03.0,11.3,Loam,Wheat, Barley
S0354,44.8124,24.9145,54:03.0,25.1,Clay,Rice, Sugarcane
S0355,-38.0501,-135.2327,24:03.0,6.3,Loam,Wheat, Barley
